id,text,likes
1,Algo permaneció quieto y no hizo falta moverlo.,0
2,"Sin razón, simplemente sucedió.",0
3,"No pasó nada raro, pero aquello cambió.",0
4,"Todo siguió, aunque nadie lo notó.",0
5,"Se quedó en el borde, como si no quisiera decidir.",0
6,"Sin razón, simplemente sucedió.",0
7,"Una brisa leve, sin intención de quedarse.",0
8,"Sin razón, simplemente sucedió.",0
9,"Un silencio cómodo, sin necesidad de llenarlo.",0
10,"Nadie dijo nada, y eso fue más que suficiente.",0
11,"No pasó nada raro, pero algo cambió.",0
12,Como si el día también necesitara descansar.,0
13,"Un momento que no pidió ser guardado, pero quedó.",0
14,"No pasó nada raro, pero algo cambió.",0
15,"No hubo señal, pero se entendió igual.",0
16,Lo pequeño se sintió suficiente por un rato.,0
17,"Todo parecía normal, y eso estaba bien.",0
18,"Un silencio cómodo, sin necesidad de llenarlo.",0
19,"Un silencio cómodo, sin necesidad de llenarlo.",0
20,"Todo siguió, aunque nadie lo notó.",0
21,"Todo parecía normal, y eso estaba bien.",0
22,Una pausa que no pidió permiso.,0
23,"Estaba ahí, como siempre, sin apuro.",0
24,Lo pequeño se sintió suficiente por un rato.,0
25,"Una brisa leve, sin intención de quedarse.",0
26,"Nada urgente, nada preciso, y aún así valía.",0
27,Algo se quedó quieto y no hizo falta moverlo.,0
28,"Todo parecía normal, y eso estaba bien.",0
29,La luz entró sin tener que explicar nada.,0
30,La luz entró sin tener que explicar nada.,0
31,"Había algo en el aire, pero nadie lo nombró.",0
32,"Una brisa leve, sin intención de quedarse.",0
33,"Se quedó en el borde, como si no quisiera decidir.",0
34,"Una brisa leve, sin intención de quedarse.",0
35,Lo pequeño se sintió suficiente por un rato.,0
36,"No pasó nada raro, pero algo cambió.",0
37,"Un silencio cómodo, sin necesidad de llenarlo.",0
38,La luz entró sin tener que explicar nada.,0
39,"No hubo señal, pero se entendió igual.",0
40,"Sin razón, simplemente sucedió.",0
41,"Se quedó en el borde, como si no quisiera decidir.",0
42,"No pasó nada raro, pero algo cambió.",0
43,"Todo parecía normal, y eso estaba bien.",0
44,"Estaba ahí, como siempre, sin apuro.",0
45,"Un silencio cómodo, sin necesidad de llenarlo.",0
46,"Se quedó en el borde, como si no quisiera decidir.",0
47,"Estaba ahí, como siempre, sin apuro.",0
